RECORD,CLASS
"it's better suited for the history or biography channel , but there's no arguing the tone of the movie - it leaves a bad taste in your mouth and questions on your mind . ",negative
an entertainment so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots . ,negative
a prolonged extrusion of psychopathic pulp . ,negative
borrows from other movies like it in the most ordinary and obvious fashion . ,negative
it's surprisingly bland despite the heavy doses of weird performances and direction . ,negative
"a chilly , remote , emotionally distant piece . . . so dull that its tagline should be : 'in space , no one can hear you snore . '",negative
"the characters seem one-dimensional , and the film is superficial and will probably be of interest primarily to its target audience . ",negative
"sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours . ",negative
"it's like a drive-by . you can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise . ",negative
everything -- even life on an aircraft carrier -- is sentimentalized . ,negative
"this would-be 'james bond for the extreme generation' pic is one big , dumb action movie . stress 'dumb . '",negative
"the movie has generic virtues , and despite a lot of involved talent , seems done by the numbers . ",negative
"when your subject is illusion versus reality , shouldn't the reality seem at least passably real ? ",negative
"it's a terrible movie in every regard , and utterly painful to watch . ",negative
"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question 'why ? '",negative
a fan film that for the uninitiated plays better on video with the sound turned down . ,negative
too infuriatingly quirky and taken with its own style . ,negative
there's a whole heap of nothing at the core of this slight coming-of-age/coming-out tale . ,negative
"as much as i laughed throughout the movie , i cannot mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys' superhuman capacity to withstand pain . ",negative
the type of dumbed-down exercise in stereotypes that gives the [teen comedy] genre a bad name . ,negative
distinctly sub-par . . . more likely to drown a viewer in boredom than to send any shivers down his spine . ,negative
plays like a bad blend of an overripe episode of tv's dawson's creek and a recycled and dumbed-down version of love story . ,negative
"unless you come in to the film with a skateboard under your arm , you're going to feel like you weren't invited to the party . ",negative
"when the casting call for this movie went out , it must have read 'seeking anyone with acting ambition but no sense of pride or shame . '",negative
just isn't as weird as it ought to be . ,negative
"a "" home alone "" film that is staged like "" rosemary's baby , "" but is not as well-conceived as either of those films . ",negative
[siegel] and co-writers lisa bazadona and grace woodard have relied too much on convention in creating the characters who surround frankie . ,negative
no film could possibly be more contemptuous of the single female population . ,negative
`hey arnold ! ' has some visual wit . . . but little imagination elsewhere . ,negative
"they're going through the motions , but the zip is gone . ",negative
a sluggish pace and lack of genuine narrative hem the movie in every bit as much as life hems in the spirits of these young women . ,negative
"a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction . then again , in a better movie , you might not have noticed . ",negative
it's mindless junk like this that makes you appreciate original romantic comedies like punch-drunk love . ,negative
"the movie is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the "" webcast . "" ",negative
"tale will be all too familiar for anyone who's seen george roy hill's 1973 film , "" the sting . "" ",negative
"gets the look and the period trappings right , but it otherwise drowns in a sea of visual and verbal clichés . ",negative
"it's hard to quibble with a flick boasting this many genuine cackles , but notorious c . h . o . still feels like a promising work-in-progress . ",negative
"anyone who wants to start writing screenplays can just follow the same blueprint from hundreds of other films , sell it to the highest bidder and walk away without anyone truly knowing your identity . ",negative
a major waste . . . generic . ,negative
"the problem with the bread , my sweet is that it's far too sentimental . ",negative
a late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques . ,negative
falls short in explaining the music and its roots . ,negative
never inspires more than an interested detachment . ,negative
what might have emerged as hilarious lunacy in the hands of woody allen or mel brooks ( at least during their '70s heyday ) comes across as lame and sophomoric in this debut indie feature . ,negative
"despite slick production values and director roger michell's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours . ",negative
"pretty much sucks , but has a funny moment or two . ",negative
they do a good job of painting this family dynamic for the audience but they tried to squeeze too many elements into the film . ,negative
"a supernatural mystery that doesn't know whether it wants to be a suspenseful horror movie or a weepy melodrama . it ends up being neither , and fails at both endeavors . ",negative
two badly interlocked stories drowned by all too clever complexity . ,negative
"it is so earnest , so overwrought and so wildly implausible that it begs to be parodied . ",negative
these are textbook lives of quiet desperation . ,negative
"swimfan , like fatal attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub . ",negative
"claims to sort the bad guys from the good , which is its essential problem . ",negative
"purposefully shocking in its eroticized gore , if unintentionally dull in its lack of poetic frissons . ",negative
"feels like pieces a bunch of other , better movies slapped together . ",negative
"almost everything about the film is unsettling , from the preposterous hairpiece worn by lai's villainous father to the endless action sequences . ",negative
"writer-director randall wallace has bitten off more than he or anyone else could chew , and his movie veers like a drunken driver through heavy traffic . ",negative
"it follows the blair witch formula for an hour , in which we're told something creepy and vague is in the works , and then it goes awry in the final 30 minutes . ",negative
one can't shake the feeling that crossroads is nothing more than an hour-and-a-half-long commercial for britney's latest album . ,negative
phoned-in business as usual . ,negative
"there's an epic here , but you have to put it together yourself . ",negative
"what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else . ",negative
"director-chef gabriele muccino keeps it fast -- zippy , comin' at ya -- as if fearing that his film is molto superficiale . ",negative
"tartakovsky's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality . ",negative
"the most horrific movie experience i've had since "" can't stop the music . "" it may as well be called "" jar-jar binks : the movie . "" it's that painful . ",negative
"god is great , the movie's not . ",negative
"like a three-ring circus , there are side stories aplenty -- none of them memorable . ",negative
"when in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip . or else a doggie winks . ",negative
